Td    ID    Tj    Df    Dd    Db
433   2701  141   10    282   292
433   2447  90    17    326   343
433   423   85    0     348   348
433   425   85    0     348   348
434   2649  130   11    293   304
435   2709  142   23    270   293
435   434   87    0     348   348
435   427   86    0     349   349
436   2639  128   26    282   308
436   422   85    0     351   351
436   419   84    0     352   352
437   428   86    0     351   351
439   418   84    0     355   355
440   2240  48    25    367   392
440   2840  168   49    223   272
442   2342  69    26    347   373
442   413   83    0     359   359
442   415   83    0     359   359
442   416   84    0     358   358
444   2336  68    12    364   376
444   2474  95    6     343   349
444   408   82    0     362   362
444   411   83    0     361   361
445   639   128   0     317   317
446   2761  153   17    276   293
446   2434  87    29    330   359
446   2843  169   54    223   277
446   407   82    0     364   364
446   409   82    0     364   364
447   2178  36    11    400   411
449   2957  192   21    236   257
449   399   80    0     369   369
449   405   81    0     368   368
449   402   81    0     368   368
451   2969  194   4     253   257
452   2347  70    80    302   382
452   398   80    0     372   372
452   397   80    0     372   372
453   396   80    0     373   373
454   364   73    0     381   381
454   2633  127   48    279   327
454   403   81    0     373   373
455   2678  136   81    238   319
455   391   79    0     376   376
456   2753  151   9     296   305
457   2710  142   10    305   315
457   2562  113   13    331   344
457   2459  92    67    298   365
457   388   78    0     379   379
458   2530  106   1     351   352
458   2992  199   37    222   259
458   2522  105   48    305   353
458   394   79    0     379   379
458   381   77    0     381   381
459   2895  179   18    262   280
459   2305  61    19    379   398
459   382   77    0     382   382
459   384   77    0     382   382
460   473   95    0     365   365
460   343   69    0     391   391
460   2235  47    25    388   413
461   355   71    0     390   390
461   375   75    0     386   386
462   2561  113   48    301   349
462   2968  194   54    214   268
462   379   76    0     386   386
463   2760  152   28    283   311
463   2251  51    2     410   412
463   2830  166   8     289   297
464   380   76    0     388   388
464   373   75    0     389   389
465   367   74    0     391   391
466   374   75    0     391   391
467   354   71    0     396   396
468   2773  155   18    295   313
468   2374  75    3     390   393
468   359   72    0     396   396
468   366   74    0     394   394
469   341   69    0     400   400
470   353   71    0     399   399
471   352   71    0     400   400
472   2729  146   3     323   326
473   2437  88    20    365   385
473   335   67    0     406   406
474   2509  102   6     366   372
474   345   69    0     405   405
475   2290  58    7     410   417
475   2616  124   20    331   351
475   336   68    0     407   407
475   348   70    0     405   405
476   2496  100   28    348   376
476   2908  182   31    263   294
476   339   68    0     408   408
477   329   66    0     411   411
477   332   67    0     410   410
478   333   67    0     411   411
479   2155  31    16    432   448
479   2698  140   9     330   339
479   328   66    0     413   413
480   184   37    0     443   443
480   2217  44    19    417   436
480   2384  77    2     401   403
480   322   65    0     415   415
481   2352  71    1     409   410
481   2441  89    5     387   392
482   2933  187   26    269   295
482   2280  56    18    408   426
482   330   66    0     416   416
483   2306  62    34    387   421
483   321   65    0     418   418
483   327   66    0     417   417
